bank_txn_id,txn_date,narration,type,amount,running_balance,beneficiary_name,branch_code
UTR786579303,2026-04-02 14:15:01,CMS/RAZORPAY/pay_3d148704e96342/ORD-2026-1001,CREDIT,10986.92,5010986.92,CORP FIN OPS,HDFC0001234
UTR210053353,2026-04-02 14:30:37,CMS/RAZORPAY/pay_0f64872efcb24f/ORD-2026-1002,CREDIT,6461.69,5017448.61,CORP FIN OPS,HDFC0001234
UTR642621108,2026-04-02 14:45:35,CMS/RAZORPAY/pay_f2a3bd39119d44/ORD-2026-1003,CREDIT,3303.31,5020751.92,CORP FIN OPS,HDFC0001234
UTR732719211,2026-04-02 15:00:48,CMS/RAZORPAY/pay_f3dc480192904d/ORD-2026-1004,CREDIT,11896.83,5032648.75,CORP FIN OPS,HDFC0001234
UTR331191390,2026-04-02 15:15:05,CMS/RAZORPAY/pay_51983d41e8d44f/ORD-2026-1005,CREDIT,5867.14,5038515.89,CORP FIN OPS,HDFC0001234
UTR966647391,2026-04-02 15:30:46,CMS/RAZORPAY/pay_84836637ece545/ORD-2026-1006,CREDIT,6992.65,5045508.54,CORP FIN OPS,HDFC0001234
UTR414797776,2026-04-02 15:45:12,CMS/RAZORPAY/pay_579cc43b1c8f46/ORD-2026-1007,CREDIT,10463.38,5055971.92,CORP FIN OPS,HDFC0001234
UTR410727955,2026-04-02 16:00:54,CMS/RAZORPAY/pay_cd4ef02838b548/ORD-2026-1008,CREDIT,3784.01,5059755.93,CORP FIN OPS,HDFC0001234
UTR782560971,2026-04-02 16:15:23,CMS/RAZORPAY/pay_86189b5a9b7a40/ORD-2026-1009,CREDIT,5518.05,5065273.98,CORP FIN OPS,HDFC0001234
UTR754049436,2026-04-02 16:30:46,CMS/RAZORPAY/pay_a25ba5328c974e/ORD-2026-1010,CREDIT,3954.18,5069228.16,CORP FIN OPS,HDFC0001234
UTR787194506,2026-04-02 16:45:20,CMS/RAZORPAY/pay_45bced9a35ca49/ORD-2026-1011,CREDIT,12421.12,5081649.28,CORP FIN OPS,HDFC0001234
UTR530747414,2026-04-02 17:00:13,CMS/RAZORPAY/pay_70d4f1b4c31f49/ORD-2026-1012,CREDIT,13416.19,5095065.47,CORP FIN OPS,HDFC0001234
UTR524806516,2026-04-02 17:15:09,CMS/RAZORPAY/pay_4a8dc6bac7464a/ORD-2026-1013,CREDIT,4238.31,5099303.78,CORP FIN OPS,HDFC0001234
UTR382116655,2026-04-02 17:30:57,CMS/RAZORPAY/pay_9ebbd711435440/ORD-2026-1014,CREDIT,8749.75,5108053.53,CORP FIN OPS,HDFC0001234
UTR629908599,2026-04-02 17:45:48,CMS/RAZORPAY/pay_fb408433f06e41/ORD-2026-1015,CREDIT,1155.27,5109208.8,CORP FIN OPS,HDFC0001234
UTR950488739,2026-04-02 18:00:38,CMS/RAZORPAY/pay_38f54e8430f148/ORD-2026-1016,CREDIT,1387.61,5110596.41,CORP FIN OPS,HDFC0001234
UTR694021782,2026-04-02 18:15:43,CMS/RAZORPAY/pay_aa025d889f6045/ORD-2026-1017,CREDIT,10692.04,5121288.45,CORP FIN OPS,HDFC0001234
UTR465260635,2026-04-02 18:30:18,CMS/RAZORPAY/pay_cc237bf8eba94a/ORD-2026-1018,CREDIT,6643.53,5127931.98,CORP FIN OPS,HDFC0001234
UTR382811832,2026-04-02 18:45:58,CMS/RAZORPAY/pay_e47af17674fd42/ORD-2026-1019,CREDIT,1994.75,5129926.73,CORP FIN OPS,HDFC0001234
UTR313579170,2026-04-02 19:00:48,CMS/RAZORPAY/pay_6661ea65b24744/ORD-2026-1020,CREDIT,2775.38,5132702.11,CORP FIN OPS,HDFC0001234
UTR624636385,2026-04-02 19:15:07,CMS/RAZORPAY/pay_e1d5903716de4e/ORD-2026-1021,CREDIT,13642.19,5146344.3,CORP FIN OPS,HDFC0001234
UTR709194872,2026-04-02 19:30:05,CMS/RAZORPAY/pay_f805f43e2c4941/ORD-2026-1022,CREDIT,10850.41,5157194.71,CORP FIN OPS,HDFC0001234
UTR237859287,2026-04-02 19:45:35,CMS/RAZORPAY/pay_24506e9baaff4c/ORD-2026-1023,CREDIT,2826.03,5160020.74,CORP FIN OPS,HDFC0001234
UTR327416584,2026-04-02 20:00:19,CMS/RAZORPAY/pay_384c3006e63a48/ORD-2026-1024,CREDIT,6137.05,5166157.79,CORP FIN OPS,HDFC0001234
