order_id,order_date,customer_id,customer_location,payment_method,discount_applied,gross_amount,currency,status
ORD-2026-1001,2026-04-01 09:15:01,CUST-5012,Delhi,UPI,0.0,11252.48,INR,COMPLETED
ORD-2026-1002,2026-04-01 09:30:37,CUST-1488,Delhi,UPI,0.0,6617.87,INR,COMPLETED
ORD-2026-1003,2026-04-01 09:45:35,CUST-9928,Hyderabad,UPI,0.0,3383.15,INR,COMPLETED
ORD-2026-1004,2026-04-01 10:00:48,CUST-7924,Hyderabad,DEBIT_CARD,0.0,12184.38,INR,COMPLETED
ORD-2026-1005,2026-04-01 10:15:05,CUST-6881,Hyderabad,DEBIT_CARD,0.0,6008.95,INR,COMPLETED
ORD-2026-1006,2026-04-01 10:30:46,CUST-3045,Hyderabad,UPI,0.0,7161.66,INR,COMPLETED
ORD-2026-1007,2026-04-01 10:45:12,CUST-1750,Bengaluru,DEBIT_CARD,0.0,10716.29,INR,COMPLETED
ORD-2026-1008,2026-04-01 11:00:54,CUST-2654,Hyderabad,UPI,0.0,3875.47,INR,COMPLETED
ORD-2026-1009,2026-04-01 11:15:23,CUST-5374,Bengaluru,DEBIT_CARD,64.8,5651.43,INR,COMPLETED
ORD-2026-1010,2026-04-01 11:30:46,CUST-8573,Hyderabad,CREDIT_CARD,0.0,4049.76,INR,COMPLETED
ORD-2026-1011,2026-04-01 11:45:20,CUST-1916,Delhi,CREDIT_CARD,80.5,12721.35,INR,COMPLETED
ORD-2026-1012,2026-04-01 12:00:13,CUST-6155,Delhi,DEBIT_CARD,0.0,13740.47,INR,COMPLETED
ORD-2026-1013,2026-04-01 12:15:09,CUST-5040,Bengaluru,NETBANKING,0.0,4340.76,INR,COMPLETED
ORD-2026-1014,2026-04-01 12:30:57,CUST-6930,Delhi,NETBANKING,13.83,8961.23,INR,COMPLETED
ORD-2026-1015,2026-04-01 12:45:48,CUST-2796,Delhi,UPI,0.0,1183.19,INR,COMPLETED
ORD-2026-1016,2026-04-01 13:00:38,CUST-7252,Bengaluru,NETBANKING,52.91,1421.15,INR,COMPLETED
ORD-2026-1017,2026-04-01 13:15:43,CUST-9797,Hyderabad,UPI,0.0,10950.47,INR,COMPLETED
ORD-2026-1018,2026-04-01 13:30:18,CUST-8433,Delhi,UPI,87.59,6804.1,INR,COMPLETED
ORD-2026-1019,2026-04-01 13:45:58,CUST-5889,Bengaluru,CREDIT_CARD,0.0,2042.96,INR,COMPLETED
ORD-2026-1020,2026-04-01 14:00:48,CUST-9689,Delhi,CREDIT_CARD,0.0,2842.46,INR,COMPLETED
ORD-2026-1021,2026-04-01 14:15:07,CUST-6038,Delhi,UPI,0.0,13971.93,INR,COMPLETED
ORD-2026-1022,2026-04-01 14:30:05,CUST-2133,Bengaluru,UPI,0.0,11112.66,INR,COMPLETED
ORD-2026-1023,2026-04-01 14:45:35,CUST-9645,Bengaluru,NETBANKING,0.0,2894.34,INR,COMPLETED
ORD-2026-1024,2026-04-01 15:00:19,CUST-7118,Hyderabad,CREDIT_CARD,45.15,6285.39,INR,COMPLETED
ORD-2026-1025,2026-04-01 15:15:21,CUST-4770,Bengaluru,CREDIT_CARD,0.0,805.0,INR,COMPLETED
ORD-2026-1026,2026-04-01 15:30:14,CUST-1514,Hyderabad,UPI,0.0,1477.3,INR,COMPLETED
ORD-2026-1027,2026-04-01 15:45:31,CUST-3167,Bengaluru,DEBIT_CARD,57.1,3606.43,INR,COMPLETED
ORD-2026-1028,2026-04-01 16:00:51,CUST-2545,Delhi,CREDIT_CARD,0.0,6402.37,INR,COMPLETED
ORD-2026-1029,2026-04-01 16:15:26,CUST-1887,Bengaluru,NETBANKING,0.0,7271.86,INR,COMPLETED
ORD-2026-1030,2026-04-01 16:30:03,CUST-6559,Delhi,UPI,0.0,6338.01,INR,COMPLETED
ORD-2026-1031,2026-04-01 16:45:08,CUST-5563,Hyderabad,NETBANKING,0.0,6617.28,INR,COMPLETED
ORD-2026-1032,2026-04-01 17:00:51,CUST-2604,Delhi,NETBANKING,0.0,12989.56,INR,COMPLETED
ORD-2026-1033,2026-04-01 17:15:05,CUST-4872,Delhi,UPI,0.0,13932.32,INR,COMPLETED
ORD-2026-1034,2026-04-01 17:30:57,CUST-7209,Delhi,CREDIT_CARD,26.52,1350.21,INR,COMPLETED
ORD-2026-1035,2026-04-01 17:45:18,CUST-8973,Delhi,NETBANKING,0.0,6633.61,INR,COMPLETED
ORD-2026-1036,2026-04-01 18:00:37,CUST-1998,Bengaluru,UPI,0.0,11168.19,INR,COMPLETED
ORD-2026-1037,2026-04-01 18:15:32,CUST-9701,Delhi,NETBANKING,0.0,13831.11,INR,COMPLETED
ORD-2026-1038,2026-04-01 18:30:54,CUST-2113,Bengaluru,UPI,40.38,3194.46,INR,COMPLETED
ORD-2026-1039,2026-04-01 18:45:38,CUST-2343,Hyderabad,CREDIT_CARD,0.0,1076.25,INR,COMPLETED
ORD-2026-1040,2026-04-01 19:00:13,CUST-6147,Delhi,DEBIT_CARD,0.0,10211.03,INR,COMPLETED
ORD-2026-1041,2026-04-01 19:15:20,CUST-2188,Delhi,DEBIT_CARD,0.0,13970.77,INR,COMPLETED
ORD-2026-1042,2026-04-01 19:30:04,CUST-9288,Hyderabad,UPI,0.0,8295.7,INR,COMPLETED
ORD-2026-1043,2026-04-01 19:45:56,CUST-5669,Delhi,UPI,0.0,4042.12,INR,COMPLETED
ORD-2026-1044,2026-04-01 20:00:51,CUST-1128,Bengaluru,DEBIT_CARD,29.94,9982.66,INR,COMPLETED
ORD-2026-1045,2026-04-01 20:15:56,CUST-2891,Delhi,UPI,0.0,2447.22,INR,COMPLETED
ORD-2026-1046,2026-04-01 20:30:38,CUST-6617,Delhi,DEBIT_CARD,0.0,3554.13,INR,COMPLETED
ORD-2026-1047,2026-04-01 20:45:16,CUST-1832,Delhi,NETBANKING,0.0,13627.38,INR,COMPLETED
ORD-2026-1048,2026-04-01 21:00:00,CUST-3143,Bengaluru,DEBIT_CARD,16.16,5336.57,INR,COMPLETED
ORD-2026-1049,2026-04-01 21:15:35,CUST-2232,Bengaluru,NETBANKING,54.56,640.21,INR,COMPLETED
ORD-2026-1050,2026-04-01 21:30:35,CUST-3088,Delhi,DEBIT_CARD,0.0,2647.36,INR,COMPLETED
ORD-2026-1051,2026-04-01 21:45:57,CUST-5088,Bengaluru,UPI,0.0,5688.23,INR,COMPLETED
ORD-2026-1052,2026-04-01 22:00:39,CUST-4878,Delhi,NETBANKING,81.08,11367.43,INR,COMPLETED
ORD-2026-1053,2026-04-01 22:15:11,CUST-6442,Hyderabad,UPI,86.41,11180.18,INR,COMPLETED
ORD-2026-1054,2026-04-01 22:30:10,CUST-2771,Hyderabad,CREDIT_CARD,85.86,11916.93,INR,COMPLETED
