pg_txn_id,merchant_id,order_id,payment_method,card_network,settlement_id,settled_at,gross_amount,fee,tax,net_amount,error_code,status
pay_3d148704e96342,MID_RAZOR_991,ORD-2026-1001,UPI,NA,setl_6727c1ae0e,2026-04-02 12:15:01,11252.48,225.05,40.51,10986.92,,SETTLED
pay_0f64872efcb24f,MID_RAZOR_991,ORD-2026-1002,UPI,NA,setl_78baa9995f,2026-04-02 12:30:37,6617.87,132.36,23.82,6461.69,,SETTLED
pay_f2a3bd39119d44,MID_RAZOR_991,ORD-2026-1003,UPI,NA,setl_6fa6f8c582,2026-04-02 12:45:35,3383.15,67.66,12.18,3303.31,,SETTLED
pay_f3dc480192904d,MID_RAZOR_991,ORD-2026-1004,DEBIT_CARD,RuPay,setl_a41cfa1875,2026-04-02 13:00:48,12184.38,243.69,43.86,11896.83,,SETTLED
pay_51983d41e8d44f,MID_RAZOR_991,ORD-2026-1005,DEBIT_CARD,RuPay,setl_b0572b3aec,2026-04-02 13:15:05,6008.95,120.18,21.63,5867.14,,SETTLED
pay_84836637ece545,MID_RAZOR_991,ORD-2026-1006,UPI,NA,setl_3076a5e61c,2026-04-02 13:30:46,7161.66,143.23,25.78,6992.65,,SETTLED
pay_579cc43b1c8f46,MID_RAZOR_991,ORD-2026-1007,DEBIT_CARD,Mastercard,setl_9752685d7d,2026-04-02 13:45:12,10716.29,214.33,38.58,10463.38,,SETTLED
pay_cd4ef02838b548,MID_RAZOR_991,ORD-2026-1008,UPI,NA,setl_c5f512427f,2026-04-02 14:00:54,3875.47,77.51,13.95,3784.01,,SETTLED
pay_86189b5a9b7a40,MID_RAZOR_991,ORD-2026-1009,DEBIT_CARD,RuPay,setl_4a9db5bbc0,2026-04-02 14:15:23,5651.43,113.03,20.35,5518.05,,SETTLED
pay_a25ba5328c974e,MID_RAZOR_991,ORD-2026-1010,CREDIT_CARD,Mastercard,setl_f2a3063296,2026-04-02 14:30:46,4049.76,81.0,14.58,3954.18,,SETTLED
pay_45bced9a35ca49,MID_RAZOR_991,ORD-2026-1011,CREDIT_CARD,Mastercard,setl_74c8d8d62c,2026-04-02 14:45:20,12721.35,254.43,45.8,12421.12,,SETTLED
pay_70d4f1b4c31f49,MID_RAZOR_991,ORD-2026-1012,DEBIT_CARD,RuPay,setl_4604bfb5ea,2026-04-02 15:00:13,13740.47,274.81,49.47,13416.19,,SETTLED
